Workflow ID,Workflow,Build Mode,Step #,Exact n8n Node,Purpose,Configuration,Why Needed / Redundant?,Priority,Notes
WF-00,Error Logger,n8n-native,1,Error Trigger,Trigger on workflow failure.,Use n8n Error Trigger.,No backend endpoint required.,Required,Start of WF-00.
WF-00,Error Logger,n8n-native,2,Code - Redact Error Payload,Build safe payload for workflow_events.,"Remove API keys, auth headers, cookies, raw HTML, reply bodies, full email/phone payloads. Keep workflow name, node name, execution URL, error message.",Helper node is necessary because n8n error objects may contain sensitive data.,Required,Output one sanitized JSON item.
WF-00,Error Logger,n8n-native,3,Supabase Insert workflow_events,Insert failure row.,"Table: workflow_events. Fields: workflow_name, event_type='error', status='failed', error_message, payload. Include lead_id/campaign_id/discovery_run_id/candidate_id if available.",Direct DB write is fine here.,Required,Use Supabase service-role credential.
WF-00,Error Logger,n8n-native,4,Founder Notification,Alert founders.,"Send short email/Slack/Telegram message with workflow, node, message, execution URL.",Optional if you monitor workflow_events elsewhere.,Recommended,Do not include raw payload.
WF-10,Lead Discovery,backend-heavy,1,Schedule Trigger,Run discovery once daily.,Schedule at desired local time. Keep max_discovery_runs_per_day=1 in campaigns.,Necessary trigger.,Required,Manual Trigger can be added during testing.
WF-10,Lead Discovery,backend-heavy,2,Set Request Body,Build app request payload.,"JSON: { campaign_id: optional uuid, dry_run: false }. Leave campaign_id blank to let backend pick oldest active campaign.",Small helper node is useful but optional if body is static in HTTP node.,Recommended,For dry run set dry_run=true.
WF-10,Lead Discovery,backend-heavy,3,HTTP Request - POST Discovery Endpoint,Call backend heavy-lifting endpoint.,POST {{APP_BASE_URL}}/api/workflows/discovery/run with header x-n8n-api-key={{N8N_WORKFLOW_API_KEY}} and JSON body from previous node.,"This replaces native Google Places, dedupe, crawl, quota, intake, enrichment, and scoring helper nodes.",Required,Backend calls reserve_places_quota RPC and performs WF-01/WF-02/WF-03 handoff.
WF-10,Lead Discovery,backend-heavy,4,IF Run Needs Attention,Branch on failed/quota_exhausted/errors.,"Condition: status in ['failed','quota_exhausted'] OR errors.length > 0.",Useful for alerting; endpoint already logs workflow_events.,Recommended,Success path can simply end.
WF-10,Lead Discovery,backend-heavy,5,Founder Notification,Notify only on failures/quota blocks.,"Send run_id, status, created, duplicates, manual_review, first error.",Optional if monitoring dashboard is enough.,Recommended,Do not duplicate workflow_events unless needed.
WF-01,Lead Intake,backend-heavy optional,1,Webhook Trigger,Receive manual/imported lead batches.,"Webhook path: lead-intake. Payload must include niche, location, max_results, leads[].",Only needed for external/manual imports. WF-10 backend already calls intake internally.,Optional,Keep disabled if only using campaign discovery.
